network_path,image_id,original_label,tmp_path,epsilon_value,smallest_sat_value,total_time,split,training
 gtsrb_cnn_vnncomp23_relu_standard.onnx,88,42,image_88,0,0.0078,101.7729206,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,89,18,image_89,0,0.0156,144.153307,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,90,38,image_90,0,0.0234,167.893394,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,91,4,image_91,0,0.0117,125.3689494,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,92,26,image_92,0,0.0039,92.18289566,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,93,39,image_93,0,0.0195,151.8509128,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,94,3,image_94,0,0.0117,119.5844259,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,97,35,image_97,0,0.0039,95.11780167,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,95,1,image_95,0,0.0156,143.7871604,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,96,11,image_96,0,0.0156,146.2774937,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,98,13,image_98,0,0.0156,146.8367217,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,99,2,image_99,0,0.0195,144.6558483,test,standard
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,1,19, image_1,0,0.0234,168.5464594,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,5,3, image_5,0,0.0078,103.035537,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,0,2, image_0,0,0.039,247.4587629,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,2,14, image_2,0,0.0351,230.0812781,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,4,31, image_4,0,0.0234,167.9204211,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,8,15, image_8,0,0.0195,148.4215736,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,6,1, image_6,0,0.039,248.2471905,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,7,20, image_7,0,0.0468,265.222436,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,10,11, image_10,0,0.0468,275.3735001,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,9,1, image_9,0,0.0507,293.8009644,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,12,11, image_12,0,0.0195,145.6182168,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,11,4, image_11,0,0.0507,293.7914014,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,14,4, image_14,0,0.0117,127.4741259,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,15,16, image_15,0,0.039,253.409584,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,13,38, image_13,0,0.0624,333.2521608,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,19,29, image_19,0,0.0195,151.920419,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,17,13, image_17,0,0.0507,292.6228976,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,18,10, image_18,0,0.0351,233.3571727,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,23,5, image_23,0,0.0234,170.4978778,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,20,17, image_20,0,0.0429,268.4441233,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,24,10, image_24,0,0.0312,207.7864373,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,22,25, image_22,0,0.0507,283.7658973,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,25,4, image_25,0,0.039,247.0617933,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,29,38, image_29,0,0.0195,146.7049954,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,26,9, image_26,0,0.0429,267.7030234,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,27,1, image_27,0,0.039,249.1392882,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,31,31, image_31,0,0.0078,97.133533,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,30,2, image_30,0,0.0351,230.0251174,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,34,8, image_34,0,0.0078,100.3111076,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,32,2, image_32,0,0.0273,189.7243826,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,28,12, image_28,0,0.0741,409.5783684,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,33,13, image_33,0,0.0312,205.9779425,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,35,13, image_35,0,0.0312,212.1577184,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,39,8, image_39,0,0.0078,103.0072722,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,38,10, image_38,0,0.0195,147.6740503,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,36,35, image_36,0,0.0351,224.2940743,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,37,38, image_37,0,0.0429,266.5728033,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,42,8, image_42,0,0.0156,144.8174326,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,43,5, image_43,0,0.0273,188.8201489,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,44,12, image_44,0,0.0234,165.6424141,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,41,1, image_41,0,0.0468,275.0574713,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,45,22, image_45,0,0.0234,168.8754907,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,46,24, image_46,0,0.0117,122.497329,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,47,5, image_47,0,0.0273,189.0913143,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,49,35, image_49,0,0.0234,174.7856464,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,48,12, image_48,0,0.0351,225.4941351,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,50,33, image_50,0,0.0351,227.9636283,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,51,17, image_51,0,0.0351,230.9467647,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,54,18, image_54,0,0.0078,98.04455733,test,fgsm
 gtsrb_cnn_vnncomp23_relu_fgsm.onnx,52,33, image_52,0,0.0234,170.2622213,test,fgsm
