,epsilon_value,result,time,network,image,split
1,0.0974999999999999,SAT,9.027233362197876,gtsrb_7_1024_standard,image_29,test
2,0.0467999999999999,SAT,8.199568271636963,gtsrb_7_1024_standard,image_29,test
3,0.0195,SAT,8.307865381240845,gtsrb_7_1024_standard,image_29,test
4,0.0078,SAT,8.314103364944458,gtsrb_7_1024_standard,image_29,test
5,0.0,UNSAT,9.883064270019531,gtsrb_7_1024_standard,image_29,test
6,0.0039,UNSAT,9.965871095657349,gtsrb_7_1024_standard,image_29,test
0,0.1989,SAT,9.206950664520264,gtsrb_7_1024_standard,image_23,test
1,0.0974999999999999,SAT,8.909574508666992,gtsrb_7_1024_standard,image_23,test
2,0.0467999999999999,SAT,8.353435277938843,gtsrb_7_1024_standard,image_23,test
3,0.0195,SAT,8.277262687683105,gtsrb_7_1024_standard,image_23,test
4,0.0078,SAT,8.398423194885254,gtsrb_7_1024_standard,image_23,test
5,0.0,UNSAT,9.890033483505247,gtsrb_7_1024_standard,image_23,test
6,0.0039,UNSAT,9.956331491470335,gtsrb_7_1024_standard,image_23,test
0,0.1989,SAT,7.659582853317261,gtsrb_7_1024_standard,image_54,test
1,0.0974999999999999,SAT,7.751534461975098,gtsrb_7_1024_standard,image_54,test
2,0.0467999999999999,SAT,9.262563228607178,gtsrb_7_1024_standard,image_54,test
3,0.0195,SAT,8.173608779907227,gtsrb_7_1024_standard,image_54,test
4,0.0078,SAT,8.423874855041504,gtsrb_7_1024_standard,image_54,test
5,0.0,UNSAT,9.79279637336731,gtsrb_7_1024_standard,image_54,test
6,0.0039,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_54,test
0,0.1989,SAT,9.233424425125122,gtsrb_7_1024_standard,image_27,test
1,0.0974999999999999,SAT,9.16216278076172,gtsrb_7_1024_standard,image_27,test
2,0.0467999999999999,SAT,8.452364921569824,gtsrb_7_1024_standard,image_27,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_27,test
4,0.0233999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_27,test
5,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_27,test
6,0.0272999999999999,SAT,8.551417827606201,gtsrb_7_1024_standard,image_27,test
7,0.0039,UNSAT,10.138752460479736,gtsrb_7_1024_standard,image_27,test
8,0.0078,UNSAT,9.967853784561155,gtsrb_7_1024_standard,image_27,test
9,0.0116999999999999,UNSAT,24.1594512462616,gtsrb_7_1024_standard,image_27,test
0,0.1989,SAT,9.163525819778442,gtsrb_7_1024_standard,image_50,test
1,0.0974999999999999,SAT,9.183754205703735,gtsrb_7_1024_standard,image_50,test
2,0.0467999999999999,SAT,8.251185417175293,gtsrb_7_1024_standard,image_50,test
3,0.0195,SAT,8.538503170013428,gtsrb_7_1024_standard,image_50,test
4,0.0078,UNSAT,12.627087116241457,gtsrb_7_1024_standard,image_50,test
5,0.0116999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_50,test
6,0.0156,SAT,8.371518611907959,gtsrb_7_1024_standard,image_50,test
0,0.1989,SAT,8.966731071472168,gtsrb_7_1024_standard,image_62,test
1,0.0974999999999999,SAT,8.980228662490845,gtsrb_7_1024_standard,image_62,test
2,0.0467999999999999,SAT,8.419740676879883,gtsrb_7_1024_standard,image_62,test
3,0.0195,SAT,8.35017728805542,gtsrb_7_1024_standard,image_62,test
4,0.0078,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_62,test
5,0.0039,UNSAT,10.259476661682127,gtsrb_7_1024_standard,image_62,test
6,0.0116999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_62,test
7,0.0156,SAT,8.381467342376709,gtsrb_7_1024_standard,image_62,test
0,0.1989,SAT,9.02591109275818,gtsrb_7_1024_standard,image_15,test
1,0.0974999999999999,SAT,9.1398823261261,gtsrb_7_1024_standard,image_15,test
2,0.0467999999999999,SAT,8.281112670898438,gtsrb_7_1024_standard,image_15,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_15,test
4,0.0233999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_15,test
5,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_15,test
6,0.0272999999999999,SAT,8.366172075271606,gtsrb_7_1024_standard,image_15,test
7,0.0039,UNSAT,10.030522346496582,gtsrb_7_1024_standard,image_15,test
8,0.0078,UNSAT,9.786735534667969,gtsrb_7_1024_standard,image_15,test
9,0.0116999999999999,UNSAT,12.550240755081177,gtsrb_7_1024_standard,image_15,test
0,0.1989,SAT,8.972652673721313,gtsrb_7_1024_standard,image_86,test
1,0.0974999999999999,SAT,9.00870156288147,gtsrb_7_1024_standard,image_86,test
2,0.0467999999999999,SAT,9.056451082229614,gtsrb_7_1024_standard,image_86,test
3,0.0195,SAT,8.42915964126587,gtsrb_7_1024_standard,image_86,test
4,0.0078,SAT,8.238069295883179,gtsrb_7_1024_standard,image_86,test
5,0.0,UNSAT,9.74710774421692,gtsrb_7_1024_standard,image_86,test
6,0.0039,UNSAT,9.94584608078003,gtsrb_7_1024_standard,image_86,test
0,0.1989,SAT,7.687741994857788,gtsrb_7_1024_standard,image_68,test
1,0.0974999999999999,SAT,9.21585178375244,gtsrb_7_1024_standard,image_68,test
2,0.0467999999999999,SAT,8.421412706375122,gtsrb_7_1024_standard,image_68,test
3,0.0195,SAT,8.200793743133545,gtsrb_7_1024_standard,image_68,test
4,0.0078,SAT,8.098890542984009,gtsrb_7_1024_standard,image_68,test
